,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Vosk ASR
1700,1799,"I say we just break the window, crawl through, and-and yknow explain later.",Ross,neutral,neutral,181,2,7,12,"00:14:34,123","00:14:40,837",i say we just break the window crawl through and and know explain later
1701,1800,Yeah? Really? No ones home?,Joey,surprise,positive,181,3,7,12,"00:14:41,088","00:14:42,964",really know it's home i don't think so
1702,1801,I dont think so. Hello?  When you get in there,Ross,neutral,neutral,181,4,7,12,"00:14:41,088","00:14:53,850",really know it's home i don't think so a littleso when you get in there
1703,1802,"Hey, what's up?",Monica,neutral,neutral,182,0,5,10,"00:06:55,456","00:06:57,666",right
1704,1803,I just saw Danny getting on the subway with a girl and he had his arm around her.,Rachel,sadness,negative,182,1,5,10,"00:06:57,834","00:07:02,921",i just saw danny getting on the subway with a girl and he had his arm around her
1705,1804,"Oh, honey, I'm sorry.",Monica,sadness,negative,182,2,5,10,"00:07:03,089","00:07:04,506",sorry
1706,1805,"Well, you should be, this is all your fault! You meddled in our relationship!!",Rachel,anger,negative,182,3,5,10,"00:07:04,757","00:07:11,596",you shouldn't be this is all your faultyou met in our relationship
1707,1806,You had no relationship!!,Monica,anger,negative,182,4,5,10,"00:07:11,764","00:07:13,598",relationship
1708,1807,"No, but I was doing my thing and everything was going according to the plan!",Rachel,anger,negative,182,5,5,10,"00:07:13,766","00:07:18,603",i was doing my thing and everything was going according to the plan
1709,1808,"Oh God, stop with the plan!",Monica,anger,negative,182,6,5,10,"00:07:18,771","00:07:22,149",start with the plan
1710,1809,"So what, so what you saw him with a girl?",Monica,neutral,neutral,182,7,5,10,"00:07:22,316","00:07:25,444",you
1711,1810,Who cares?!,Monica,anger,negative,182,8,5,10,"0:07:25,611","0:07:27,363",that doesn't mean anything
1712,1811,That doesn't mean anything!,Monica,anger,negative,182,9,5,10,"0:07:27,363","0:07:27,585",
1713,1812,"Now look, you're going to go out on a date with Danny and you're going to be so charming he's gonna forget all about that stupid subway girl.",Monica,neutral,neutral,182,10,5,10,"00:07:27,697","00:07:33,577",you're gonna go out on a date with danny and going to be so charming is going to forget all about thatstupid subway
1714,1813,She was kinda stupid.,Rachel,neutral,neutral,182,11,5,10,"00:07:34,787","00:07:36,913",it was stupid
1715,1814,You're right.,Rachel,neutral,neutral,182,12,5,10,"0:07:37,748","0:07:38,510",right
1716,1815,"All right, I'm just gonna go on the date.",Rachel,neutral,neutral,182,13,5,10,"0:07:38,510","0:07:41,102",i'm just gonna go on the
1717,1816,I'm gonna go on the date.,Rachel,neutral,neutral,182,14,5,10,"0:07:41,102","0:07:41,391",
1718,1817,That is the new plan.,Rachel,neutral,neutral,182,15,5,10,"00:07:41,461","00:07:45,589",didn't go on the date that is the new plan
1719,1819,Hi.,Phoebe,neutral,neutral,183,0,2,4,"00:09:52,592","00:09:53,925",hi
1720,1820,Phoebe!,Duncan,surprise,positive,183,1,2,4,"0:09:54,343","0:09:55,315",the we
1721,1821,Ta-da.,Phoebe,joy,positive,183,2,2,4,"0:09:55,315","0:09:56,264",
1722,1822,Hey.,Duncan,neutral,neutral,183,3,2,4,"0:09:57,346","0:09:58,139",hi
1723,1823,Hi.,Phoebe,neutral,neutral,183,4,2,4,"0:09:58,139","0:09:58,830",
1724,1824,"Ahh, look at you, you look great.",Duncan,joy,positive,183,5,2,4,"00:09:59,098","00:10:01,308",look at you you're gone
1725,1825,"Do I? Thank you, so do you.",Phoebe,neutral,neutral,183,6,2,4,"00:10:01,684","00:10:03,810",do i thank you
1726,1826,Thanks.,Duncan,neutral,neutral,183,7,2,4,"0:10:04,186","0:10:05,688",there are you today
1727,1827,Sparkly.,Phoebe,neutral,neutral,183,8,2,4,"0:10:05,688","0:10:06,938",later
1728,1828,"So, wow, this is pretty wonerful, huh.",Phoebe,joy,positive,183,9,2,4,"00:10:09,025","00:10:15,572",sowow this isis pretty wonderful heard mr major capades guy
1729,1829,Mr. major capades guy.,Phoebe,neutral,neutral,183,10,2,4,"00:10:10,318","00:10:15,572",wow this ispretty wonderful that mr major capades guy
1730,1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Phoebe,neutral,neutral,183,11,2,4,"00:10:16,824","00:10:21,494",i remember when you were just like king friday and mister rogers isis nice
1731,1831,You always said I'd make it.,Duncan,joy,positive,183,12,2,4,"00:10:23,080","00:10:24,789",yeah you always said i'd make
1732,1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Phoebe,neutral,neutral,183,13,2,4,"00:10:25,041","00:10:28,376",yeah well known kind of spooky that way
1733,1833,I missed you.  I'm gonna get changed.,Duncan,neutral,neutral,183,14,2,4,"00:10:29,920","00:10:36,801",miss youi'm going to get changed okay
1734,1834,OK.,Phoebe,neutral,neutral,183,15,2,4,"00:10:34,800","00:10:36,801",i'm going to get changed okay
1735,1835,"Um, now. Phoebs.",Duncan,neutral,neutral,183,16,2,4,"00:10:39,055","00:10:40,764",now
1736,1836,"Oh, right, OK. Ole.",Phoebe,neutral,neutral,183,17,2,4,"00:10:43,559","00:10:45,685",oh okay
1737,1837,What?,Duncan,neutral,neutral,183,18,2,4,"00:10:46,270","00:10:48,980",lengthright
1738,1838,"Um, the matador.  Ole, ha ha ha.",Phoebe,joy,positive,183,19,2,4,"00:10:50,441","00:10:58,281",the matador sooh name
1739,1839,"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",Jane,joy,positive,184,0,9,20,"00:05:46,751","00:05:49,462",hi joey it's jan rodgers can wait for your party tonight
1740,1840,"Listen, I forgot your address, can you give me a call?",Jane,neutral,neutral,184,1,9,20,"0:05:49,629","0:05:52,341",listen i forgot your address can you give me a call
1741,1841,"Thanks, bye.",Jane,neutral,neutral,184,2,9,20,"0:05:52,341","0:05:54,322",thanks bye
1742,1842,Hey!,Joey,joy,positive,184,3,9,20,"0:05:55,676","0:05:56,344",hey
1743,1843,Hey!,Rachel,joy,positive,184,4,9,20,"0:05:56,344","0:05:57,613",
1744,1844,What's happening?,Joey,joy,positive,184,5,9,20,"00:05:57,720","00:05:58,888",
1745,1845,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",Rachel,sadness,negative,184,6,9,20,"00:05:59,138","00:06:03,351",ah shame you can't make it to that one woman show tonight
1746,1846,"Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first",Joey,neutral,neutral,184,7,9,20,"00:06:03,518","00:06:10,441",i'd love to but i gotta get up so early the next day and you know me work comes from am
1747,1847,"Oh, yeah, yeah, yeah...",Rachel,neutral,neutral,184,8,9,20,"00:06:06,729","00:06:10,441",you know me work comes but i am
1748,1848,"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",Message,joy,positive,184,9,9,20,"00:06:11,943","00:06:15,488",joey it's jan rodgers can wait for your party does
1749,1849,Stupid Jane Rogers!!,Joey,anger,negative,184,10,9,20,"00:06:17,281","00:06:19,575",the picture and roger
1750,1850,You are having a party tonight??,Rachel,surprise,negative,184,11,9,20,"00:06:20,576","00:06:22,578",having a party
1751,1851,Kinda have a... a thing for the Days Of Our Life's people.,Joey,neutral,neutral,184,12,9,20,"00:06:23,120","00:06:26,290",kind of haven't to a thing for the days of our lives
1752,1852,And you weren't going to tell us? How did you think you were    gonna get away with that?,Rachel,anger,negative,184,13,9,20,"00:06:26,457","00:06:32,421",and you get a jobdid you think you are going to get away with that i do it every year
1753,1853,I do it every year.,Joey,neutral,neutral,184,14,9,20,"00:06:30,586","00:06:32,421",i do whatever you
1754,1854,You do that every year??,Rachel,surprise,negative,184,15,9,20,"00:06:34,048","00:06:36,092",every year
1755,1855,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,Joey,anger,negative,184,16,9,20,"00:06:36,259","00:06:41,472",didn't have a tell you thathow to stop what a jim rogers
1756,1856,"Oh, that's why you got these tickets to that play, to get rid    of us??",Rachel,anger,negative,184,17,9,20,"00:06:42,473","00:06:45,685",that's why you got a service to their prey to get rid of that
1757,1857,Yeah...,Joey,neutral,neutral,184,18,9,20,"00:06:45,852","00:06:46,936",yeah
1758,1858,And last year is that why you sent us to that medieval times    restaurant?,Rachel,anger,negative,184,19,9,20,"00:06:47,103","00:06:50,565",last year were used to that medieval times restaurants
1759,1859,Yeah...,Joey,neutral,neutral,184,20,9,20,"00:06:50,731","00:06:51,941",yeah
1760,1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",Rachel,anger,negative,184,21,9,20,"00:06:52,817","00:06:57,446",the nighttime time
1761,1861,Who's this from?,Rachel,surprise,positive,185,0,1,24,"0:08:26,547","0:08:27,319",wow
1762,1862,"Oh, that's Ross's.",Chandler,neutral,neutral,185,1,1,24,"0:08:27,319","0:08:28,553",that's rust
1763,1863,Oh...  Oh my God. He remembered.,Rachel,surprise,positive,185,2,1,24,"00:08:34,805","00:08:38,892",oh my godhe remembered
1764,1864,Remembered what?,Phoebe,neutral,neutral,185,3,1,24,"00:08:39,101","00:08:40,310",remember what
1765,1865,It was like months ago.,Rachel,surprise,positive,185,4,1,24,"00:08:40,520","00:08:42,229",it was like months ago
1766,1866,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",Rachel,sadness,negative,185,5,1,24,"00:08:42,438","00:08:49,819",we were walking by this antique store and i saw this pin in the window and i told him that it was just like when my grandmother had when i was little girl
1767,1867,Oh!,Rachel,surprise,positive,185,6,1,24,"00:08:50,029","00:08:51,029",
1768,1868,I can't believe he remembered!,Rachel,surprise,positive,185,7,1,24,"00:08:50,029","00:08:53,365",
1769,1869,"Oh, it's so pretty. This must have cost him a fortune.",Phoebe,surprise,positive,185,8,1,24,"00:09:01,290","00:09:07,420",oh reallythis must have cost him a fortune i can't believe he did that
1770,1870,I can't believe he did this.,Monica,surprise,positive,185,9,1,24,"00:09:04,460","00:09:07,420",this must have cost him a fortune i can't believe he did
1771,1871,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?",Chandler,neutral,neutral,185,10,1,24,"00:09:07,630","00:09:16,555",ross remember back in college when he fell in love with carol and butter that ridiculously expensive crystal duckwhen it's just
1772,1872,What did you just say?,Rachel,surprise,positive,185,11,1,24,"00:09:14,887","00:09:16,555",what did you just
1773,1873,F-hah.... flennin....,Chandler,fear,negative,185,12,1,24,"00:09:41,247","00:09:42,998",for and
1774,1874,Oh.... my God.,Rachel,surprise,positive,185,13,1,24,"00:09:46,377","00:09:49,379",
1775,1875,I really like waking up with you.,Gary,joy,positive,186,0,5,21,"00:19:59,698","00:20:01,282",i really like waking up
1776,1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",Phoebe,joy,positive,186,1,5,21,"00:19:59,698","00:20:07,163",i really like waking up with you like waking up tooh such a beautiful morning
1777,1877,That would be great!,Gary,joy,positive,186,2,5,21,"00:20:09,166","00:20:10,917",there was the great
1778,1878,We could have breakfast in bed,Phoebe,joy,positive,186,3,5,21,"0:20:11,168","0:20:12,980",the currents resisting theres
1779,1879,"Wait, just a second.",Gary,neutral,neutral,186,4,5,21,"0:20:12,980","0:20:13,729",they just as
1780,1880,Okay.  Oh! Oh no.,Phoebe,surprise,negative,186,5,5,21,"00:20:15,797","00:20:19,425",now
1781,1881,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",Rachel,sadness,negative,187,0,3,24,"00:08:18,664","00:08:23,293",that was depressing i think i just bought a soft pretzel from one of the kids from the same
1782,1882,Um-hmm. Oh wait! This is Bonnie.,Phoebe,surprise,positive,187,1,3,24,"00:08:24,170","00:08:27,214",hobbieswait this is bonnie
1783,1883,Hi!,Bonnie,joy,positive,187,2,3,24,"00:08:27,423","00:08:28,507",they
1784,1884,This is Bonnie?  This is Bonnie?  Youre Bonnie?,Rachel,surprise,positive,187,3,3,24,"00:08:29,509","00:08:30,675",this is bonnie
1785,1885,I can show you an ID if you want?,Bonnie,neutral,neutral,187,4,3,24,"00:08:33,095","00:08:36,014",i can show you an idea if you're one
1786,1886,"Oh no, Im sorry, you look a lot different from the last time I-I saw you.",Rachel,surprise,positive,187,5,3,24,"00:08:36,224","00:08:40,268",i just you look a lot different than the last time i i saw
1787,1887,"Oh yeah, well I just started wearing bras again.",Bonnie,neutral,neutral,187,6,3,24,"00:08:40,520","00:08:43,396",oh yeah well i just started wearing bras again
1788,1888,"Oh, that must be it.",Rachel,neutral,neutral,187,7,3,24,"00:08:44,190","00:08:45,941",that must be it
1789,1889,Well I hope you have fun tonight.,Phoebe,neutral,neutral,187,8,3,24,"00:08:47,485","00:08:48,735",the idea of fun and i
1790,1890,Thanks! You too.,Bonnie,joy,positive,187,9,3,24,"00:08:48,945","00:08:50,153",thanks you too
1791,1891,I believe it.,Rachel,neutral,neutral,188,0,4,2,"00:09:35,324","00:09:36,992",i believe it
1792,1893,"Yes, I do.",Rachel,neutral,neutral,188,2,4,2,"0:09:39,891","0:09:40,887",yes i do
1793,1894,"No you doy'know what, youre not gonna suck me into this.",Ross,anger,negative,188,3,4,2,"00:09:40,997","00:09:47,836",no you'dknow whatyou're not going to suddenly ended
1794,1895,"Oh sure I am, because you always have to be right.",Rachel,anger,negative,188,4,4,2,"00:09:48,004","00:09:52,173",oh sure yeahbecause you always have to be right
1795,1896,"I do not always have to beokay, okay.",Ross,anger,negative,188,5,4,2,"00:09:52,341","00:09:54,467",that always have okay okay
1796,1897,Jurassic Park,Rachel,neutral,neutral,188,6,4,2,"00:09:58,347","00:10:00,140",jurassic park could have
1797,1898,"I'm telling you, something's wrong! My brother does not stay out all night.",Monica,fear,negative,189,0,5,12,"00:09:12,760","00:09:15,887",how are you something's wrong my brother does not stay out all night
1798,1899,Maybe we should check the trash chute.,Joey,neutral,neutral,189,1,5,12,"00:09:16,055","00:09:18,181",there was a check the trash you
1799,1900,Ross couldn't fit down the trash chute.,Rachel,neutral,neutral,189,2,5,12,"00:09:19,809","00:09:22,143",ross couldn't sit down the trash chute
1800,1901,"That's right, he almost could. Which is exactly how I got stuck there.",Joey,neutral,neutral,189,3,5,12,"00:09:22,353","00:09:27,315",that's right he almost goodwhich is exactly how i got stuck there
1801,1902,Hey!,Phoebe,neutral,neutral,189,4,5,12,"0:09:28,985","0:09:29,957",
1802,1903,There he is!,Rachel,joy,positive,189,5,5,12,"0:09:29,957","0:09:30,415",
1803,1904,Oh my God!  Where the hell have you been?!!,Monica,anger,negative,189,6,5,12,"00:09:30,528","00:09:34,447",have you been
1804,1905,"Just, y'know out.",Ross,neutral,neutral,189,7,5,12,"00:09:35,283","00:09:37,534",thisall out
1805,1906,"Ohh, out, oh God, I don't know why we didn't think to check there!",Rachel,anger,negative,189,8,5,12,"00:09:37,743","00:09:42,289",oh it's oh god why wouldn't think to check their
1806,1907,What were you doing?,Phoebe,neutral,neutral,189,9,5,12,"00:09:42,665","00:09:43,999",what are you doing
1807,1908,"I uh, went to a bar. And then I just uh, just walked around for a while.",Ross,neutral,neutral,189,10,5,12,"00:09:44,208","00:09:50,630",i went to a bar and theni just stole just walked around for a while
1808,1910,He hooked up! He hooked up with someone.,Joey,surprise,positive,189,12,5,12,"00:09:55,845","00:10:00,390",he hooked upthey looked up with someone
1809,1911,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",Ross,anger,negative,189,13,5,12,"00:10:00,600","00:10:05,353",i don't have to answer your questions okay i'm a big boy i you do whatever i want
1810,1912,He hooked up!! Tell us about her!,Joey,joy,positive,189,14,5,12,"00:10:05,563","00:10:11,067",the hooked uptell us about her
1811,1913,Ross you left you scarf in Hey you guys.,Janice,neutral,neutral,189,15,5,12,"00:10:11,861","00:10:22,454",godhey you guys
1812,1915,"Oh yeah, that looks good.",Chandler,neutral,neutral,190,0,7,5,"0:21:24,783","0:21:26,702",that looks good
1813,1916,You guys make a,Phoebe,neutral,neutral,190,1,7,5,"0:21:26,702","0:21:29,238",as make a very attractive couple of
1814,1917,"Yeah, we look great together.",Joey,joy,positive,190,2,7,5,"00:21:32,165","00:21:35,751",look great togetherwe really do
1815,1919,Okay.,Chandler,neutral,neutral,190,3,7,5,"00:21:36,253","00:21:37,712",okay
1816,1920,Wow! Imagine what our kids would look like!,Monica,joy,positive,190,4,7,5,"00:21:38,338","00:21:40,464",imagine what our kids would look like
1817,1921,"Yknow, we dont have to imagine.",Joey,neutral,neutral,190,5,7,5,"00:21:40,632","00:21:42,258",you know we don't have to imagine
1818,1922,Im marrying her.,Chandler,joy,positive,190,6,7,5,"00:21:44,469","00:21:46,012",i'm married or
1819,1923,Well just see.,Joey,neutral,neutral,190,7,7,5,"00:21:46,179","00:21:47,888",this
1820,1924,Hey! Hey! Be careful around my Porsche!,Joey,anger,negative,191,0,6,5,"00:21:19,653","00:21:23,489",although my
1821,1925,Hi Joey.,Woman,neutral,neutral,191,1,6,5,"00:21:25,284","00:21:27,451",hi joeya
1822,1926,Hey! How you doin?,Joey,neutral,neutral,191,2,6,5,"00:21:27,619","00:21:29,245",hey there
1823,1927,He has the most amazing Porsche under there!,Woman,joy,positive,191,3,6,5,"00:21:29,788","00:21:32,373",the has the most amazing porsche under the
1824,1928,"Id love to show ya, but I just tucked her in.",Joey,neutral,neutral,191,4,6,5,"0:21:32,541","0:21:34,961",i'd love to show you but i just tucked rain
1825,1929,Shes sleeping.,Joey,neutral,neutral,191,5,6,5,"0:21:34,961","0:21:35,729",sleep and
1826,1930,"Hey uh, would you two girls like to go for a drink?",Joey,neutral,neutral,191,6,6,5,"00:21:37,337","00:21:39,422",if you to go frederick
1827,1931,"Well, the old lady died.",Ross,sadness,negative,192,0,8,7,"0:21:21,905","0:21:24,387",wellthe old lady died
1828,1932,And how do I know?,Ross,neutral,neutral,192,1,8,7,"0:21:24,387","0:21:26,002",of how do i know
1829,1933,Her dying wish was for one last kiss.,Ross,neutral,neutral,192,2,8,7,"00:21:26,118","00:21:29,495",the because are dying wish was for one last kiss
1830,1934,"But I dont care,  because you got the apartment.",Ross,joy,positive,192,3,8,7,"0:21:31,832","0:21:35,054",that i don't carebecause you got the apartment
1831,1935,Yes!,Ross,joy,positive,192,4,8,7,"0:21:35,054","0:21:35,801",yes
1832,1936,Ewww. Yeah. Umm. I think Im gonna stay here.,Rachel,disgust,negative,192,5,8,7,"00:21:35,919","00:21:41,966",yeahi think i'm going to stay here
1833,1937,Isnt that great?,Joey,joy,positive,192,6,8,7,"00:21:42,134","00:21:44,260",they're great
1834,1938,Ezels!!,Ross,disgust,negative,192,7,8,7,"00:21:47,389","00:21:48,973",souls
1835,1939,"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, its not your fault.",Phoebe,neutral,neutral,193,0,3,14,"00:13:39,193","00:13:52,914",manysmith who care what they mean a smelly can smell the carenine years
1836,1940,"Wow, thats great.",Leslie,joy,positive,193,1,3,14,"00:13:53,707","00:13:54,999",that's
1837,1941,"Oh, yeah!",Phoebe,joy,positive,193,2,3,14,"00:13:55,167","00:13:58,169",you know you could totally cells and
1838,1942,"Y'know you could totally sell this. Itd be perfect for like umm, a kitty litter campaign.",Leslie,neutral,neutral,193,3,3,14,"00:13:55,167","00:14:02,257",you know you could totally sells is every perfect for like on our kitty litter campaign
1839,1943,"I..., a jingle? No, no-no-no, no.",Phoebe,neutral,neutral,193,4,3,14,"00:14:03,092","00:14:05,343",jingle no no no no
1840,1944,What? Why not? You could make a ton of money.,Leslie,surprise,negative,193,5,3,14,"00:14:05,511","00:14:07,178",why not you make a ton of money
1841,1945,"Okay, well if I was in this for the money, Id be a millionaire by now, y'know.",Phoebe,neutral,neutral,193,6,3,14,"00:14:07,346","00:14:10,849",okay i have i was in this where the money i would be a millionaire by now
1842,1946,You just got to get out of that jingle head sweetie.,Phoebe,neutral,neutral,193,7,3,14,"00:14:12,601","00:14:14,978",get out of a single head sweetie
1843,1947,"Aw, youre right, youre right. Im sorry.",Leslie,neutral,neutral,194,0,3,10,"00:14:15,980","00:14:18,773",hey you know i'm just
1844,1948,"Thats okay. All right, Im gonna play song thats really, really sad. Its called Magician Box Mix Up.",Phoebe,joy,positive,194,1,3,10,"00:14:18,941","00:14:26,406",going to call gunther and i'm an atomic not quitting would you you you don't want to give into the fear you and you're still
1845,1949,"Okay sir, um-mm, let see if I got this right.",Rachel,neutral,neutral,195,0,3,5,"00:18:29,691","00:18:31,859",the me to see if i've got this right
1846,1950,"Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, with whip, extra hot latte, right?",Rachel,neutral,neutral,195,1,3,5,"00:18:35,656","00:18:40,701",non fat no phone with with extra hot latte right
1847,1951,"Okay, great.",Rachel,joy,positive,195,2,3,5,"00:18:40,869","00:18:42,370",a great
1848,1952,You freak.,Rachel,disgust,negative,195,3,3,5,"00:18:42,538","00:18:44,956",i freak
1849,1953,Thank you.,Ross,joy,positive,195,4,3,5,"0:18:50,712","0:18:53,173",thegot to go please
1850,1954,"Um, coffee to go, please.",Isabella,neutral,neutral,195,5,3,5,"0:18:53,173","0:18:54,252",
1851,1955,Isabella Rosselini.,Ross,neutral,neutral,195,6,3,5,"00:18:57,886","00:18:59,387",
1852,1956,Are you serious?  Oh my God.,Monica,surprise,positive,195,7,3,5,"00:18:59,555","00:19:02,140",research
1853,1957,Damn! I cant believe I took her off my list.,Ross,anger,negative,195,8,3,5,"00:19:02,307","00:19:05,893",am i cannot believe i took or up when list
1854,1958,Why? Cause otherwise youd go for it?,Monica,neutral,neutral,195,9,3,5,"00:19:06,061","00:19:08,271",why because otherwise you go for it
1855,1959,"Yeah, maybe.",Ross,neutral,neutral,195,10,3,5,"00:19:10,983","00:19:12,108",maybe
1856,1960,"Oh-oh, you lie.",Rachel,disgust,negative,195,11,3,5,"00:19:12,276","00:19:15,069",oh he wasn't i
1857,1961,What you dont think Id go up to her?,Ross,neutral,neutral,195,12,3,5,"00:19:15,237","00:19:17,280",they don't think i'd go to her
1858,1962,"Ross, it took you ten years to finally admit you liked me.",Rachel,neutral,neutral,195,13,3,5,"00:19:17,447","00:19:21,242",was it took you ten years to finally admit you like me
1859,1963,"Yeah, well missy, you better be glad that list is laminated.",Ross,anger,negative,195,14,3,5,"00:19:23,245","00:19:28,749",the yeah well missy you better be glad that list as laminated
1860,1964,"You know what honey, you go ahead, well call her an alternate.",Rachel,neutral,neutral,195,15,3,5,"00:19:28,917","00:19:33,254",go ahead will call an alternate
1861,1965,"Okay, hold my crawler.",Ross,neutral,neutral,195,16,3,5,"0:19:34,131","0:19:36,175",okayold micro it
1862,1966,Okay.,Rachel,neutral,neutral,195,17,3,5,"0:19:36,175","0:19:38,059",okay
1863,1967,"Rach, are you really gonna let him do this?",Monica,surprise,positive,195,18,3,5,"00:19:38,844","00:19:40,887",really
1864,1968,"Honey, hes about to go hit on Isabella Rosselini. Im just sorry we dont got popcorn.",Rachel,joy,positive,195,19,3,5,"00:19:41,054","00:19:46,309",i think he's about to go hit on isabella rossellini under bar we don't got popped off
1865,1969,"Okay, that's, that's enough.",Ross,neutral,neutral,196,0,3,4,"00:21:54,646","00:21:56,397",i mean that
1866,1971,Won't you dance around with me.,Ross,neutral,neutral,196,1,3,4,"00:22:04,406","00:22:06,866",what you dance around with me
1867,1972,A-ha!!!,Monica,surprise,positive,196,2,3,4,"00:22:06,000","00:22:06,866",
1868,1973,"Oh-oh-oh, yeah!  That's right, you take good care of those babies!",Joey,joy,positive,197,0,5,24,"00:08:26,297","00:08:31,968",the i havetake good care of those babies
1869,1974,Excuse me?,Joey's Hand Twin,surprise,negative,197,1,5,24,"0:08:32,595","0:08:33,397",event
1870,1975,"It's me, Joey!",Joey,joy,positive,197,2,5,24,"0:08:33,397","0:08:34,857",it's we enjoy
1871,1976,Do I know you?,Joey's Hand Twin,surprise,positive,197,3,5,24,"00:08:35,014","00:08:37,307",do i know you
1872,1977,Joey!,Joey,joy,positive,197,4,5,24,"00:08:37,517","00:08:38,892",joey
1873,1978,"Oh-ho, yeah. Yeah, the hand guy.",Joey's Hand Twin,neutral,neutral,197,5,5,24,"00:08:42,438","00:08:44,731",the the ham guy
1874,1979,Okay thats fair.,Joey,neutral,neutral,197,6,5,24,"00:09:30,861","00:09:34,573",that's that's okaythe chorus
1875,1980,All right.,Ross,neutral,neutral,197,7,5,24,"00:09:41,956","00:09:43,415",hi i know what
1876,1981,Good!,Phoebe,neutral,neutral,198,0,6,25,"00:13:09,121","00:13:10,663",you three or four
1877,1982,Pick one.,Rachel,neutral,neutral,198,1,6,25,"00:13:15,085","00:13:16,795",one left
1878,1983,Left!  Thank you.,Phoebe,joy,positive,198,2,6,25,"00:13:15,085","00:13:19,923",one leftand you you're welcome
1879,1984,Youre welcome.,Rachel,neutral,neutral,198,3,6,25,"00:13:17,797","00:13:19,923",thank you you're welcome
1880,1985,Ross!,Phoebe,surprise,positive,198,4,6,25,"00:13:22,176","00:13:24,511",joy
1881,1986,Joey!  We should just switch.,Rachel,neutral,neutral,198,5,6,25,"00:13:22,176","00:13:28,807",joywe should just switch yeah absolutely
1882,1987,Yeah absolutely!,Phoebe,joy,positive,198,6,6,25,"00:13:26,806","00:13:28,807",she just went yeah so review
1883,1989,"Rachel, were sorry for pushing those guys on you.",Phoebe,sadness,negative,199,0,6,19,"00:20:44,618","00:20:47,245",rachel we're sorry for pushing those guys on you know
1884,1990,Oh thats all right!,Rachel,joy,positive,199,1,6,19,"0:20:47,412","0:20:48,264",that's right
1885,1991,"Yknow, I ended up having a really good time.",Rachel,joy,positive,199,2,6,19,"0:20:48,264","0:20:50,186",i ended up having a really good time
1886,1992,"Yknow, the charity was a big success and they raised a lot of money and awareness.",Rachel,joy,positive,199,3,6,19,"00:20:50,290","00:20:54,752",you know the charity was a big success and they raised a lot of money and awareness
1887,1993,So what was it for anyway?,Chandler,neutral,neutral,199,4,6,19,"00:20:54,920","00:20:57,338",those it for anyone
1888,1994,I wanna say a disease.,Rachel,neutral,neutral,199,5,6,19,"00:20:58,298","00:21:00,466",i wanna say a disease
1889,1995,Hey!,Joey,surprise,positive,199,6,6,19,"0:21:02,719","0:21:03,281",hey
1890,1996,Hey!,All,surprise,positive,199,7,6,19,"0:21:03,281","0:21:03,979",
1891,1997,I just got this really weird message from Ross. He said turn on,Joey,neutral,neutral,199,8,6,19,"00:21:04,096","00:21:08,432",this is really weird message from rossi said turn on mtv and
1892,1999,"Oh my God, look! Thats Elizabeth!",Phoebe,surprise,positive,199,9,6,19,"00:21:13,438","00:21:16,607",
1893,2000,Oh-oh Professor Geller.,Rachel,neutral,neutral,199,10,6,19,"00:21:24,700","00:21:28,244",professor girl or
1894,2001,"Ahh, to be 13 again.",Joey,neutral,neutral,199,11,6,19,"00:21:30,580","00:21:33,040",the be thirteen
1895,2003,"Hey! So uh, was he excited about the tickets?",Ross,neutral,neutral,200,0,6,23,"0:13:44,573","0:13:46,826",so well woodsy excited about the tickets
1896,2004,No! He blew us off!,Joey,anger,negative,200,1,6,23,"0:13:46,826","0:13:48,638",no he blew us off
1897,2005,What?!,Ross,surprise,negative,200,2,6,23,"0:13:48,744","0:13:49,166",what
1898,2006,I know!,Joey,surprise,negative,200,3,6,23,"0:13:49,166","0:13:50,750",oh no
1899,2007,I cant believe it.  Can I tell you something? Im a little mad at him now.,Ross,anger,negative,200,4,6,23,"00:13:50,871","00:13:57,919",can't believe itcan i tell you somethingi'm a little mad at him now
1900,2008,Can I tell you something? Me too.,Joey,anger,negative,200,5,6,23,"00:13:53,415","00:14:01,339",can i tell you somethingi'm a little mad at him nowi tell you something
1901,2009,"Yknow what? He didnt want to talk to us about being angry, well maybe we dont talk to him",Ross,anger,negative,200,6,6,23,"00:14:06,762","00:14:12,392",you know what even want to talk to us about being angry or maybe we don't talk to him at all
